epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,579.848,1.09814,0.7031,1.2063,0.67715,0.81894,0.84305,0.43618,1.77453,1.07756,1.639,0.000900844,0.000900844,0.000900844
43,593.079,1.07759,0.65841,1.19173,0.59412,0.75809,0.78009,0.46009,1.51782,1.59885,1.46611,0.000896127,0.000896127,0.000896127
44,606.365,1.07193,0.69145,1.17882,0.82988,0.64324,0.75216,0.41708,1.60589,1.46006,1.50459,0.000891313,0.000891313,0.000891313
45,619.649,1.10287,0.66262,1.17959,0.776,0.83722,0.87283,0.5296,1.42368,1.07272,1.35082,0.000886404,0.000886404,0.000886404
46,633.043,1.09901,0.6349,1.19738,0.70721,0.58243,0.62599,0.34847,1.58511,1.58496,1.45145,0.000881401,0.000881401,0.000881401
47,646.324,1.04546,0.65428,1.16369,0.82656,0.77355,0.80993,0.48439,1.48407,1.12527,1.41133,0.000876305,0.000876305,0.000876305
48,659.613,1.05495,0.67854,1.17354,0.85039,0.87689,0.90811,0.44689,1.77984,0.94181,1.64573,0.000871117,0.000871117,0.000871117
49,672.844,1.0656,0.61399,1.19268,0.76989,0.82773,0.81456,0.4858,1.50419,0.97708,1.41244,0.000865839,0.000865839,0.000865839
50,686.146,1.04677,0.60725,1.16236,0.80992,0.89392,0.91473,0.47106,1.7429,1.08105,1.61543,0.000860473,0.000860473,0.000860473
51,699.42,1.05496,0.60844,1.19101,0.85137,0.85468,0.91309,0.51775,1.51446,0.88749,1.38386,0.000855018,0.000855018,0.000855018
52,712.688,1.09482,0.58827,1.1882,0.83172,0.89305,0.89146,0.5115,1.57462,0.87016,1.47254,0.000849477,0.000849477,0.000849477
53,725.926,1.09949,0.61882,1.19277,0.84906,0.81621,0.86066,0.50421,1.55563,0.88986,1.48543,0.000843851,0.000843851,0.000843851
54,739.201,1.05805,0.5444,1.17432,0.66291,0.83446,0.804,0.38694,1.86295,1.20205,1.70067,0.000838141,0.000838141,0.000838141
55,752.47,1.06946,0.61321,1.17134,0.76305,0.79659,0.84796,0.49828,1.41895,1.18366,1.35354,0.000832349,0.000832349,0.000832349
56,765.74,1.05983,0.60548,1.17549,0.87512,0.8724,0.90633,0.48718,1.64977,0.86342,1.48907,0.000826477,0.000826477,0.000826477
57,778.992,1.06145,0.61352,1.17121,0.77682,0.69547,0.74824,0.40522,1.57905,1.16026,1.45763,0.000820525,0.000820525,0.000820525
58,792.292,1.06119,0.56896,1.16717,0.77953,0.76599,0.82157,0.46589,1.47723,0.99581,1.40138,0.000814495,0.000814495,0.000814495
59,805.579,1.06426,0.57013,1.15569,0.79459,0.71868,0.78544,0.43586,1.61185,1.02901,1.49088,0.000808389,0.000808389,0.000808389
60,818.687,1.08837,0.56373,1.20134,0.86423,0.88193,0.90688,0.46832,1.6825,0.82892,1.55816,0.000802208,0.000802208,0.000802208
61,831.738,1.03245,0.56705,1.15051,0.8893,0.86238,0.90849,0.49103,1.68618,0.79838,1.58266,0.000795954,0.000795954,0.000795954
62,844.858,0.9904,0.58061,1.13517,0.83604,0.85743,0.90247,0.48256,1.67486,0.84849,1.56652,0.000789628,0.000789628,0.000789628
63,857.985,0.99354,0.54313,1.14102,0.8858,0.79702,0.88996,0.53173,1.48977,0.85392,1.39464,0.000783231,0.000783231,0.000783231
64,871.181,1.01064,0.53329,1.1346,0.85353,0.78885,0.88729,0.50223,1.5236,1.09592,1.43938,0.000776766,0.000776766,0.000776766
65,884.249,0.98438,0.51792,1.13963,0.79432,0.78835,0.8644,0.51292,1.46822,1.24767,1.4038,0.000770234,0.000770234,0.000770234
