epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
176,2358.53,0.45421,0.26883,0.85468,0.89168,0.89453,0.91521,0.58029,1.31772,0.71613,1.37016,4.76796e-05,4.76796e-05,4.76796e-05
177,2372.22,0.47012,0.26856,0.8634,0.92775,0.88234,0.9154,0.57779,1.32775,0.72066,1.38316,4.47606e-05,4.47606e-05,4.47606e-05
178,2386.04,0.47673,0.28429,0.86814,0.91116,0.88657,0.91362,0.5806,1.31803,0.72442,1.37491,4.19552e-05,4.19552e-05,4.19552e-05
179,2399.99,0.45163,0.26988,0.85726,0.89453,0.89462,0.91215,0.58726,1.28511,0.71159,1.34916,3.9264e-05,3.9264e-05,3.9264e-05
180,2414.73,0.45908,0.26142,0.85692,0.8948,0.89614,0.91516,0.61263,1.23527,0.68884,1.31,3.66877e-05,3.66877e-05,3.66877e-05
181,2429.03,0.48544,0.27503,0.86487,0.92915,0.85642,0.91378,0.61324,1.2276,0.68222,1.3066,3.4227e-05,3.4227e-05,3.4227e-05
182,2442.85,0.46656,0.26638,0.86989,0.89797,0.90603,0.91492,0.60648,1.24184,0.6788,1.31959,3.18825e-05,3.18825e-05,3.18825e-05
183,2456.55,0.48274,0.27131,0.87886,0.90683,0.88137,0.92107,0.60974,1.22129,0.66665,1.30061,2.96546e-05,2.96546e-05,2.96546e-05
184,2469.93,0.466,0.26022,0.87279,0.91832,0.84291,0.9197,0.63241,1.15596,0.65388,1.2467,2.75441e-05,2.75441e-05,2.75441e-05
185,2483.1,0.46409,0.27227,0.86352,0.90292,0.87589,0.91048,0.62468,1.14537,0.65281,1.23855,2.55513e-05,2.55513e-05,2.55513e-05
186,2497.34,0.45964,0.26471,0.86409,0.91387,0.86587,0.91163,0.622,1.15989,0.65397,1.25109,2.36769e-05,2.36769e-05,2.36769e-05
187,2511.5,0.45824,0.2663,0.85848,0.87743,0.90407,0.92154,0.62965,1.18361,0.65846,1.26891,2.19212e-05,2.19212e-05,2.19212e-05
188,2525.73,0.47508,0.27015,0.86453,0.91332,0.86892,0.92521,0.6279,1.19964,0.6561,1.27946,2.02847e-05,2.02847e-05,2.02847e-05
189,2539.75,0.44638,0.26294,0.86212,0.91303,0.86892,0.92469,0.62613,1.20112,0.65444,1.28171,1.87678e-05,1.87678e-05,1.87678e-05
190,2554.16,0.47459,0.27209,0.86832,0.91319,0.86892,0.92468,0.62734,1.19373,0.6575,1.27451,1.73709e-05,1.73709e-05,1.73709e-05
191,2568.38,0.4596,0.27374,0.88263,0.91237,0.86689,0.92373,0.62618,1.18519,0.65642,1.26774,1.60943e-05,1.60943e-05,1.60943e-05
